Count, Time (ms), RSSI (dBm), Frequency (KHz), Timestamp (ms), EPC, Phase (Degrees)
1,542232,-62,927200,797,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
2,542359,-60,921400,925,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
3,542511,-62,926000,75,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,165
4,543161,-58,919400,730,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
5,543258,-58,926600,829,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
6,543304,-56,926800,874,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
7,543338,-56,920800,908,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
8,543386,-57,924400,957,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
9,543427,-57,923800,996,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
10,543496,-56,924600,66,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,163
11,543526,-56,922000,97,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
12,543560,-56,917800,131,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
13,543594,-54,922800,166,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
14,543627,-56,919000,198,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
15,543661,-56,917400,233,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
16,543707,-56,926400,278,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
17,543740,-56,924000,313,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
18,543773,-56,919800,346,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
19,543808,-56,926200,381,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
20,543852,-56,925000,425,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
21,543886,-54,918600,459,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
22,543920,-54,918800,493,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
23,543952,-53,923000,526,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
24,543988,-53,918200,562,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
25,544031,-53,927000,606,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
26,544066,-53,925400,640,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
27,544101,-53,922200,675,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
28,544135,-53,922400,709,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
29,544169,-53,917600,745,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
30,544203,-53,920400,779,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
31,544235,-53,925800,811,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
32,544270,-53,920600,846,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
33,544304,-53,924200,879,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
34,544339,-53,918000,916,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
35,544382,-53,927200,958,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
36,544418,-56,920000,993,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
37,544434,-52,921400,9,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
38,544468,-52,923400,46,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
39,544502,-52,925600,80,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
40,544546,-52,926000,124,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
41,544579,-56,919600,156,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
42,544614,-52,924800,191,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
43,544649,-53,922600,226,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
44,544681,-52,921600,260,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
45,544715,-53,925200,293,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
46,544750,-53,918400,328,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
47,544784,-53,919200,362,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
48,544819,-53,923600,397,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
49,544852,-53,921800,431,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
50,544885,-54,923200,465,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
51,544919,-54,920200,498,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
52,544955,-54,919400,535,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
53,544988,-56,921200,567,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
54,545021,-54,926600,602,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
55,545068,-56,926800,648,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
56,545100,-56,920800,681,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
57,545135,-56,924400,716,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
58,545171,-57,923800,752,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
59,545211,-57,921000,792,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
60,545244,-57,924600,825,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
61,545278,-56,922000,860,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
62,545320,-58,917800,903,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
63,545355,-56,922800,938,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
64,545387,-56,919000,970,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
65,545423,-56,917400,1004,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
66,545442,-58,926400,21,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
67,545478,-56,924000,56,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
68,545510,-56,919800,89,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
69,545545,-58,926200,123,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
70,545588,-57,925000,167,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
71,545646,-56,918600,226,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
72,545694,-58,918800,274,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
73,545728,-58,923000,308,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
74,545760,-58,918200,340,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
75,545818,-56,927000,399,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
76,545852,-58,925400,433,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
77,545892,-58,922200,473,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
78,546058,-60,917600,640,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
79,546109,-60,920400,692,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
80,546180,-62,925800,763,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
81,546216,-59,920600,799,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,177
82,546306,-60,924200,889,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
83,546420,-62,927200,1003,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
84,546507,-59,921400,88,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
85,546578,-59,923400,159,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
86,546635,-58,925600,217,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,168
87,546680,-59,926000,263,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
88,546803,-59,924800,387,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,174
89,547436,-62,926800,21,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
90,551803,-60,926000,407,E2 00 42 04 D7 90 64 11 03 1A 2A E5 ,171
